question_id,hybrid_SE,token_entropy,seq_len,curv_std_w016,curv_std_full,curv_raw_w016,split
115,1.504788,2.5308108,13.0,1.9399209,1.7810751,1.6219406,test
116,1.227529,2.2576463,13.0,1.9385709,1.8070534,1.6349398,test
117,-0.0,2.038592,12.0,1.9448705,1.7915726,1.6326666,train
118,-0.0,3.7671523,8.0,1.8774594,1.7520987,1.5374475,train
119,-0.0,3.1780126,10.0,1.89881,1.7632618,1.5745511,test
120,-0.0,3.8019233,8.0,1.9195137,1.7782146,1.5853373,test
121,-0.0,3.3962808,10.0,1.9263358,1.7838352,1.5843407,train
122,1.470808,5.061827,7.0,1.8889471,1.7580783,1.5576073,train
123,0.325083,2.4326708,12.0,1.9517196,1.7979755,1.6225077,train
124,-0.0,2.6717448,8.0,1.9113456,1.7862786,1.5940676,test
125,2.025326,3.2458751,10.0,1.907205,1.7722529,1.535111,train
126,0.639032,2.2392087,20.0,1.9378061,1.8074951,1.6036335,train
127,1.643418,2.2816846,16.0,1.9558066,1.7916228,1.6062683,test
128,-0.0,2.4576552,21.0,1.9361038,1.7842312,1.6133183,test
129,2.302585,2.392617,19.0,1.9485515,1.8028408,1.6154118,train
130,-0.0,2.1388345,19.0,1.956511,1.8143198,1.6382931,train
131,1.168282,2.6721969,16.0,1.9348516,1.7945777,1.6247239,test
132,1.418484,2.2351825,21.0,1.9243711,1.7970493,1.6339425,train
133,0.639032,3.4580653,13.0,1.9091944,1.7819272,1.5867556,train
134,0.325083,2.3717904,19.0,1.9120493,1.7724123,1.6130309,train
135,1.279854,1.576477,26.0,1.935278,1.807359,1.6762377,train
136,0.325083,4.6986895,10.0,1.9167023,1.7640079,1.542168,test
137,0.500402,3.7470183,13.0,1.9091679,1.7745508,1.5579494,train
138,0.325083,2.4787288,15.0,1.9166732,1.7786776,1.5692135,train
139,0.639032,3.2807848,12.0,1.9248012,1.777628,1.6072642,train
140,0.325083,3.4855971,10.0,1.9264277,1.7904705,1.5929748,test
141,1.168282,3.0456064,12.0,1.9165606,1.7837448,1.6000975,train
142,0.639032,2.7659466,15.0,1.9343768,1.7845217,1.6195922,test
143,-0.0,4.3316917,8.0,1.8994728,1.7720101,1.5858045,test
144,-0.0,3.3137667,9.0,1.9053464,1.7800152,1.5495672,train
145,1.227529,2.5120027,13.0,1.9289094,1.7943429,1.5953484,train
146,0.325083,3.2169862,7.0,1.8919522,1.7732748,1.5685658,test
147,0.500402,3.977366,8.0,1.8704749,1.7568887,1.5479678,test
148,2.302585,3.0146897,12.0,1.9351548,1.7892317,1.5601107,train
149,-0.0,3.0506556,11.0,1.93672,1.7803277,1.5866948,train
150,1.973001,3.7886167,9.0,1.8839816,1.7702714,1.5555829,test
151,0.325083,2.9667358,9.0,1.9044622,1.7789295,1.5884784,test
152,2.163956,3.6417947,15.0,1.9251084,1.7784537,1.5569558,test
153,0.940448,3.4053216,10.0,1.9167056,1.7809693,1.538493,train
154,0.639032,3.946108,9.0,1.9079508,1.7701813,1.5841713,test
155,0.325083,3.2589254,12.0,1.9484702,1.7974033,1.6067419,train
156,-0.0,3.7515345,8.0,1.8914223,1.763095,1.5413542,test
157,1.0889,3.8322177,9.0,1.9259866,1.7817783,1.6023645,train
158,1.227529,3.6194422,8.0,1.9097253,1.765443,1.559875,train
159,0.801819,3.3336143,10.0,1.9254112,1.7809836,1.558579,test
160,0.940448,4.774938,6.0,1.8466142,1.7493496,1.5644579,train
161,1.227529,4.9725604,6.0,1.8761759,1.7571926,1.5680108,train
162,0.940448,2.9947653,15.0,1.9317657,1.7833046,1.592464,train
163,0.940448,5.066335,7.0,1.8620272,1.7613127,1.5760857,train
164,0.325083,5.034053,6.0,1.895531,1.764068,1.5493072,test
165,1.748067,4.8345566,6.0,1.8519348,1.7472718,1.5612607,train
166,0.500402,3.4280093,8.0,1.8904754,1.7627412,1.5819281,train
167,1.643418,2.7510936,12.0,1.9219881,1.789571,1.5680462,train
168,0.325083,3.6182468,9.0,1.9098066,1.7793857,1.5598836,train
169,1.973001,4.65308,9.0,1.9255129,1.7701695,1.5648171,train
170,0.325083,3.7667263,10.0,1.9250885,1.7747805,1.6049237,train
171,0.500402,3.7925873,9.0,1.8966212,1.7576805,1.5688566,test
172,-0.0,3.6570005,9.0,1.8954935,1.7593615,1.5639862,train
173,0.639032,3.991112,12.0,1.8916116,1.7730103,1.545084,test
174,1.168282,3.9401276,12.0,1.889329,1.7733401,1.5403508,train
175,-0.0,3.9278429,11.0,1.877142,1.7674278,1.5341349,train
176,2.163956,3.7078404,16.0,1.9116893,1.7745365,1.5742861,test
177,2.302585,3.8650002,10.0,1.8775887,1.7592283,1.5575715,train
178,0.639032,3.810606,7.0,1.8849629,1.7631361,1.5099312,train
179,1.497866,3.62554,9.0,1.890875,1.7576617,1.5540328,test
180,0.325083,3.6345062,10.0,1.8886198,1.764682,1.5692844,test
181,0.325083,2.8745182,10.0,1.9133595,1.7785579,1.6112375,train
182,-0.0,3.043875,17.0,1.916388,1.7971271,1.611821,train
183,0.325083,2.7445607,14.0,1.9193025,1.77534,1.5282356,train
184,-0.0,3.694411,9.0,1.8799416,1.7517319,1.5379791,train
185,0.801819,2.7604609,15.0,1.8972015,1.7749033,1.5680838,test
186,-0.0,3.2329078,10.0,1.8917271,1.7658564,1.5465794,train
187,-0.0,2.6264966,15.0,1.8865956,1.7707802,1.5738096,train
